Precipitation,Mean Temperature,Humidity,Deaths
1745,25.2,26.3,60.36087277
1627.8,25.4,26.7,54.92718937
1921.8,25.4,26.5,48.04597864
2025,25.3,26.4,41.90053972
1898.3,25.2,26,39.66104994
1997.9,25.4,26.5,40.74674768
1781,25.5,26.8,43.37977145
1749.3,25.4,26.4,48.11363219
2079.5,25.4,26.4,52.77454116
1916.3,25.4,26.4,54.31603778
1870.7,25.5,26.6,51.24345119
655.1,28.1,21.3,76.11773721
705.3,28,20.8,76.73053901
784.4,28,20.7,75.9328157
735.8,28.1,21.2,75.84844441
918.7,27.8,20.4,74.94184428
828,28,21,72.54861628
708.5,28.2,21.3,72.20653866
770.5,28.3,21.4,70.55213861
696.2,28.8,21.7,71.1853
1073,27.8,20.9,71.42605495
900,28,21.4,71.47884161
718.6,28.2,21.1,57.22680967
635.9,28.4,21.4,49.72456371
948,28.1,21.4,45.86021955
753,28.3,21.3,38.33244002
973.2,28.6,21.6,30.5018627
899.4,28.2,21.3,26.07623452
747.9,28.4,21.1,23.38109837
942.8,28.4,21.4,22.59949387
967.2,28,21.2,18.25918208
1061.2,28.8,21.7,18.33908999
779.3,28.3,21.1,19.72465474
1073.5,28.3,21.4,20.31511827
1002.6,28.4,21.4,18.34949329
959.3,28.4,21.3,15.88145274
1008.5,27.8,24.8,86.30426802
1330.7,27.3,25.2,90.73568362
929.2,27.1,24.1,91.98564643
1069.8,27.4,24.9,93.08135919
1123.5,27.3,24.6,94.07918162
1146.4,27.6,24.9,95.87182508
1194,27.5,25.1,97.35601634
1203.3,27.5,25,97.65223916
964.8,28.1,25.3,99.73002973
1278.6,27.4,25,102.216732
1019.6,27.6,24.6,105.157305
1031.7,27.5,24.4,110.2375809
1220.4,27.5,25.1,115.2098013
1209.9,27.7,25.5,124.7077259
1118.9,27.7,25.6,125.7269457
1122.3,27.9,25.7,122.9357782
1092.5,27.6,25.4,118.113335
1300.7,27.6,25.3,118.5949278
1331.3,27.4,24.6,120.4794178
1194.2,27.6,26,115.7571139
1262,28.1,26.3,110.4168885
1162.5,27.8,25.2,101.3432698
1190.3,27.5,25.2,91.76913
1086.3,27.7,25.5,83.3642371
1163.7,27.9,25.9,78.304443
1493.5,26,21.2,127.899598
1556.9,26,21.3,131.180862
1539,25.7,20.7,130.7499176
1508.1,25.9,21.3,130.4028613
1904,25.6,20.7,131.0222484
1641.8,26,21.1,132.0257189
1639.6,26.2,21.5,131.9375954
1662.6,26.1,21.4,129.5056787
1700.4,26.7,22,129.5966611
1711.3,26.1,21.2,135.3444485
1652.6,26,21.4,138.6800307
1490.9,26.2,21.1,150.3075664
1504.7,26.2,21.3,158.3804316
1834.8,26.3,21.7,168.832257
1685.8,26.5,21.7,181.7312093
1570.6,26.6,21.9,181.6228084
1605.2,26.3,21.4,178.8540235
1373,26.4,21.4,173.0456127
1744.9,25.9,21,165.2340798
1545.9,26.2,21.6,151.5536962
1917.5,26.6,21.9,145.8202105
1599.4,26.3,21.6,139.3403699
1660.7,26.2,21.6,131.1000886
1704.5,26.3,21.8,127.2602556
1668.5,26.3,21.6,120.5805458
1300.1,27.1,23.7,105.2631355
1557.2,27.1,23.3,103.6164155
1545.6,26.9,23.1,101.433528
1445.5,27,23.8,98.9566541
1844.1,26.8,23.1,96.24097373
1451.8,27.2,23.5,94.92808274
1504.3,27.3,23.7,93.15704533
1578.9,27.3,23.6,91.17795775
1655.1,27.8,24.2,91.84951217
1891.8,27.4,23.5,91.12294864
1714.7,27.3,23.9,98.92013298
1459.1,27.3,23.6,85.24401278
1280.1,27.3,23.9,72.68174422
1736.2,27.3,23.9,60.76014065
1587.3,27.4,23.9,48.35113584
1198.6,27.9,24.1,38.38617849
1766,27.4,23.8,31.54828028
1332.6,27.5,23.6,29.57806672
1807.9,27.3,23.8,29.24219399
1680,27.2,23.8,27.92823153
1620.3,27.8,24.1,27.46327093
1507.3,27.3,23.6,27.56150771
1499.4,27.4,23.7,25.48073217
1682.6,27.5,23.8,26.58077881
1368.8,27.4,23.8,24.72710048
709.1,24.7,20.5,49.30930102
559.8,25,20.5,51.30643549
567.5,24.9,20.6,51.75470598
604,24.9,20.1,51.58219486
678.3,24.8,20.6,51.26096091
665.5,25.2,21,51.57253746
510.7,25.1,20.7,51.11310377
1033.6,25.2,20.5,50.54384311
688.9,25.2,20.7,51.43091903
604.1,25.1,20.2,51.30192908
447.3,25.3,20.6,41.95962959
596.3,25.3,20.7,46.82670177
725.4,25.8,21,42.59086926
639.5,25.8,21.1,44.7406363
694,25.5,20.7,39.25981069
586.4,25.4,20.7,31.40476484
713.8,25.6,21,25.73765533
689.2,25.4,20.8,21.35266426
658,25.2,20.6,17.61237112
616.1,25.9,21.2,14.34058217
624.1,25.7,21,8.26399049
628.5,25.7,21.1,3.673155967
761.2,25.3,20.7,3.709040282
782.4,25.4,20.9,7.728915395
608.9,25.8,21,10.55213833
642.7,12.1,7.9,0
880.4,12.2,8.6,0
525.8,12.7,8.7,0
778.7,12.5,9.1,0
631.9,11.6,7.7,0
748.6,11.9,8.7,0
961.9,11.3,8.5,0
888.3,11.6,8.6,0
938.7,11.9,8.9,0
779.4,12.7,9,0
894,11.6,8.4,0
959,11.9,8.7,0
759.4,11.9,8.3,0
601.9,12.3,8.6,0
713.1,12.3,8.6,0
622.9,12.5,8.8,0
1059.2,11.9,8.6,0
719.3,12.1,8.4,0
758.7,12.4,8.6,0
828.5,12.1,8.5,0
878.2,12.9,8.9,0
919.2,12.2,8.6,0
748.6,12.5,8.6,0
682.9,12.8,8.7,0
782.7,12.7,8.9,0
2054.1,25.5,24.7,152.1879208
2334.5,25.5,24.4,154.0648879
2294.6,25.3,23.9,157.2083561
1964.7,25.4,24.3,160.1323146
2407.7,25.3,24.1,162.9720234
2218.7,25.5,24.8,162.7274489
2409.5,25.6,24.4,163.2327147
1965.2,25.7,24.5,161.0944135
2436.3,26.1,25.4,160.9067692
2676.7,25.6,24.6,158.5732815
2345.3,25.6,24.7,155.7487547
2534.5,25.5,24.4,157.0575941
2427.5,25.6,24.5,156.0015169
2534.3,25.7,25.1,155.1705753
2498.7,25.8,25.1,155.3236978
2145.2,26,25.2,152.2625018
2696,25.8,24.9,143.4320829
2335.3,25.8,25.1,131.9264252
2446.1,25.3,24.3,121.0192554
2399.7,25.6,25,107.8031749
2798.7,26.1,25.8,97.39717606
2488.4,25.6,24.9,88.25656541
2139.3,25.4,24.8,69.16456411
2380.7,25.7,25,60.20374342
2622.7,25.6,24.9,61.98950007
50,22.4,11.1,0
69.8,22.2,10.8,0
47.1,21.4,10.4,0
44.2,22.2,10.9,0
72.2,22.3,11,0
54.2,22.2,10.9,0
51.5,22.4,10.9,0
53,22.5,11.1,0
48.7,22.7,11.2,0
31.9,23,11.5,0
49,22,10.9,0
46.8,22.9,11.4,0
52.9,22.9,11.5,0
51.6,22.8,11.4,0
48.6,22.9,11.2,0
50.6,22.7,11.2,0
