Year,Deaths
2014,35.28114432
1990,5.27888118
1991,4.775967601
1992,4.599388981
1993,4.426717856
1994,4.164309315
1995,4.173522243
1996,4.110465886
1997,4.112159785
1998,4.120665715
1999,4.909755375
2000,5.22563029
2001,5.867822704
2002,6.96034398
2003,7.96606569
2004,9.027526803
2005,9.163016368
2006,9.77657799
2007,9.69165345
2008,9.730610858
2009,8.947100871
2010,9.526742699
2011,9.605175799
2012,9.307530346
2013,9.036885767
2014,9.33330184
